"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"
"Everything you need to know about the @LibDems manifesto #LibDemManifesto #GE2017 https://t.co/kL0Y1ZrJUh"|FALSE|0|NA|2017-05-17 17:07:01|FALSE|NA|"864890010318843905"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"TotallyTopical2"|3|FALSE|FALSE|NA|NA
"RT @LeftieLawyer: Libdems have some bloody cheek claiming they represent the youth vote after tripling tuition fees. #libdemmanifesto #Vote…"|FALSE|0|NA|2017-05-17 17:06:59|FALSE|NA|"864890000235692033"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"ForeverHonest61"|155|TRUE|FALSE|NA|NA
"RT @LibTard87: Families: 1) 15 hours free childcare for 2 year olds 2) Reverse cuts to child tax credit 3) Scrap the vile #RapeClause<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#LibD…"|FALSE|0|NA|2017-05-17 17:06:57|FALSE|NA|"864889990735691776"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"bingaddick"|2|TRUE|FALSE|NA|NA
"RT @theNewsfox: If a tree falls in the forest and doesn't make a sound, is it still more relevant than the #LibDemManifesto."|FALSE|0|NA|2017-05-17 17:06:50|FALSE|NA|"864889960603824129"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"Whitesv2128"|21|TRUE|FALSE|NA|NA
"RT @RexApolloPound: An EU referendum? That's very thoughtful of you Tim, but we've already had one. #LibDemManifesto #VoteFishFinger https:…"|FALSE|0|NA|2017-05-17 17:06:49|FALSE|NA|"864889957437100032"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"ForeverHonest61"|55|TRUE|FALSE|NA|NA
"#LibDemManifesto commitment to legalise cannabis is a very good move. Makes sense, in terms of crime reduction and tax income."|FALSE|0|NA|2017-05-17 17:06:41|FALSE|NA|"864889922280452096"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"DavidNeutron"|0|FALSE|FALSE|NA|NA
"RT @damo56: I've created a new party logo...do I win £10? #LibDemManifesto https://t.co/d2JnuPKdFn"|FALSE|0|NA|2017-05-17 17:06:31|FALSE|NA|"864889881285320704"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"MemeStubley"|41|TRUE|FALSE|NA|NA
"so, the best thing with the Lib Dems is that even after looking up who he is, I still don't know the leader's name #LibDemManifesto"|FALSE|0|NA|2017-05-17 17:06:29|FALSE|NA|"864889875123904513"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"DavidJBradley1"|0|FALSE|FALSE|NA|NA
"RT @davidutting: Unlike Labour #LibDemManifesto wont scrap tuition fees and will put up income tax rather than just those earning over £80k…"|FALSE|0|NA|2017-05-17 17:06:28|FALSE|NA|"864889868568207360"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"Aaliyah_Fozol"|8|TRUE|FALSE|NA|NA
"Some good stuff; legalised cannabis, 1p+ income tax, reasonably costed public spending #LibDemManifesto rent to buy scheme is interesting.."|FALSE|0|NA|2017-05-17 17:06:26|FALSE|NA|"864889863291772928"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"AdamGray1250"|0|FALSE|FALSE|NA|NA
"What a brilliant manifesto, 2nd referendum? More money invested in education? My vote stands with the Lib Dems #LibDemManifesto #LibDems"|FALSE|0|NA|2017-05-17 17:06:25|FALSE|NA|"864889855368716288"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"JamesBrannan_99"|0|FALSE|FALSE|NA|NA
"RT @matti_colley: The Lib Dems would increase the Early Years Premium to £1,000 a year. #LibDemManifesto"|FALSE|0|NA|2017-05-17 17:06:18|FALSE|NA|"864889826725777409"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"HumphreysHope"|6|TRUE|FALSE|NA|NA
"Everything you need to know about the @LibDems manifesto #LibDemManifesto #GE2017 https://t.co/JASnaxnedk"|FALSE|11|NA|2017-05-17 17:06:15|FALSE|NA|"864889815887687682"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"TotallyTopical2"|8|FALSE|FALSE|NA|NA
"RT @MogTessa: So the lib dem are making many pledges in their #LibDemManifesto. How many of those pledge are they going to keep? My bet is…"|FALSE|0|NA|2017-05-17 17:06:13|FALSE|NA|"864889807117443072"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"Aaliyah_Fozol"|6|TRUE|FALSE|NA|NA
"Plenty of #cannabis being sold to school kids daily at the station - he would like to legalise it? #LibDemManifesto https://t.co/fRxW1PzIkn"|FALSE|0|NA|2017-05-17 17:06:12|FALSE|NA|"864889801086033920"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"SimonMoores"|0|FALSE|FALSE|NA|NA
"Families: 1) 15 hours free childcare for 2 year olds 2) Reverse cuts to child tax credit 3) Scrap the vile #RapeClause<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#LibDemManifesto"|FALSE|1|NA|2017-05-17 17:06:10|FALSE|NA|"864889794815565825"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"LibTard87"|2|FALSE|FALSE|NA|NA
"RT @LeftieLawyer: Libdems have some bloody cheek claiming they represent the youth vote after tripling tuition fees. #libdemmanifesto #Vote…"|FALSE|0|NA|2017-05-17 17:06:09|FALSE|NA|"864889792177328128"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"darrellanders_"|155|TRUE|FALSE|NA|NA
