"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"
"RT @Cofo2cofoCofo: \"They clearly didn't get our leak.\" Crashing the #LeadersDebate - almost! <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> #thelastleg  see the video: <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E37> https://t.co/…"|FALSE|0|NA|2017-05-20 00:03:12|FALSE|NA|"865719519301562368"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"aseelbntfahad"|3|TRUE|FALSE|NA|NA
"RT @Cofo2cofoCofo: \"They clearly didn't get our leak.\" Crashing the #LeadersDebate - almost! <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> #thelastleg  see the video: <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E37> https://t.co/…"|FALSE|0|NA|2017-05-20 00:02:39|FALSE|NA|"865719383007670272"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"meralalslman"|3|TRUE|FALSE|NA|NA
"RT @Cofo2cofoCofo: \"They clearly didn't get our leak.\" Crashing the #LeadersDebate - almost! <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> #thelastleg  see the video: <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E37> https://t.co/…"|FALSE|0|NA|2017-05-20 00:00:30|FALSE|NA|"865718840235372544"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"Cofo2cofoCofo"|3|TRUE|FALSE|NA|NA
"\"They clearly didn't get our leak.\" Crashing the #LeadersDebate - almost! <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> #thelastleg  see the video: <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E37>… https://t.co/X3bfLRXrYG"|FALSE|1|NA|2017-05-20 00:00:16|TRUE|NA|"865718782018322432"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"Cofo2cofoCofo"|3|FALSE|FALSE|NA|NA
"RT @Trump_ton: @paulnuttallukip is drawing attention to the fact that not only are Jeremy and Theresa not there - Natalie is a no-show too…"|FALSE|0|NA|2017-05-19 23:59:33|FALSE|NA|"865718603231973380"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"NchTigersFan"|2|TRUE|FALSE|NA|NA
"RT @Colm_Cosgrove: #LeadersDebate @NicolaSturgeon is in a league of her own. Scotland has become a very attractive option for young healthc…"|FALSE|0|NA|2017-05-19 23:58:39|FALSE|NA|"865718373300281344"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"Anamcara2015"|515|TRUE|FALSE|NA|NA
"RT @Jamin2g: They're literally laughing at him.  #LeadersDebate #ITVdebate #GE2017 https://t.co/IgyUSoqv4h"|FALSE|0|NA|2017-05-19 23:52:26|FALSE|NA|"865716811098193921"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"GerryMohabir"|1519|TRUE|FALSE|NA|NA
"RT @GarethBQuinn: .@NicolaSturgeon: The Prime Minister might not have turned up, but her spokesperson in the form of Paul Nuttal has #GE201…"|FALSE|0|NA|2017-05-19 23:52:24|FALSE|NA|"865716801497333760"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"pinkandpurple69"|11|TRUE|FALSE|NA|NA
"RT @politicalanger: Sturgeon, Lucas, and Wood nailed it tonight. #itvdebate #LeadersDebate"|FALSE|0|NA|2017-05-19 23:51:28|FALSE|NA|"865716568856166400"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"pinkandpurple69"|17|TRUE|FALSE|NA|NA
"RT @MsParaDoxy: @EL4JC @AngelaRayner #LeadersDebate #bbcdp #bbcqt #bbctw  #Newsnight #ToryManifesto  Conservatives = a #CoalitionOfCruelTor…"|FALSE|0|NA|2017-05-19 23:50:41|FALSE|NA|"865716370578845697"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"JJohnexley46"|8|TRUE|FALSE|NA|NA
